Date,Ticker,ret,volume,market_ret
2025-01-03,ACB,-0.01972440029751294,25634673,-0.01371058323850758
2025-01-03,BID,0.0,3698500,-0.01371058323850758
2025-01-03,BVH,-0.03457134406508867,1174600,-0.01371058323850758
2025-01-03,CTG,-0.023905565863770756,10418500,-0.01371058323850758
2025-01-03,EIB,-0.02702867238791926,5154900,-0.01371058323850758
2025-01-03,FPT,-0.019934152006039537,7413019,-0.01371058323850758
2025-01-03,GAS,-0.0014696235133167175,474314,-0.01371058323850758
2025-01-03,GVR,-0.006578971098042511,1619700,-0.01371058323850758
2025-01-03,HDB,-0.026237630216857148,9552300,-0.01371058323850758
2025-01-03,HPG,-0.01492567958697684,16248144,-0.01371058323850758
2025-01-03,KDH,-0.010007226031471316,1767810,-0.01371058323850758
2025-01-03,MBB,-0.020040779334415375,17048065,-0.01371058323850758
2025-01-03,MSN,-0.01565868293319587,3301200,-0.01371058323850758
2025-01-03,MWG,-0.03356022416463593,7662400,-0.01371058323850758
2025-01-03,NVL,0.014320053774748471,11644700,-0.01371058323850758
2025-01-03,PDR,-0.012150764713653952,4482432,-0.01371058323850758
2025-01-03,PLX,0.00783291826737608,786900,-0.01371058323850758
2025-01-03,POW,-0.01680711831638129,4994501,-0.01371058323850758
2025-01-03,SAB,-0.010849995384064323,417400,-0.01371058323850758
2025-01-03,SSI,-0.023392824313855826,18194900,-0.01371058323850758
2025-01-03,STB,-0.02462504730538918,8642600,-0.01371058323850758
2025-01-03,TCB,-0.03128510958678,24408400,-0.01371058323850758
2025-01-03,TPB,-0.02137485732003467,10560060,-0.01371058323850758
2025-01-03,VCB,0.0010875693949584677,2543892,-0.01371058323850758
2025-01-03,VHM,0.0,4365100,-0.01371058323850758
2025-01-03,VIB,-0.028315882478193003,8467463,-0.01371058323850758
2025-01-03,VIC,-0.0012338064489284325,1915100,-0.01371058323850758
2025-01-03,VJC,-0.004012041489960769,743700,-0.01371058323850758
2025-01-03,VNM,-0.0015860541266190479,1856800,-0.01371058323850758
2025-01-03,VPB,-0.021108961534037577,10601500,-0.01371058323850758
2025-01-06,ACB,-0.01202433654455326,18844613,-0.006492124079011776
2025-01-06,BID,0.015584728351866996,5010800,-0.006492124079011776
2025-01-06,BVH,-0.025446665661164262,1085100,-0.006492124079011776
2025-01-06,CTG,0.0,6045300,-0.006492124079011776
2025-01-06,EIB,0.0,5321300,-0.006492124079011776
2025-01-06,FPT,0.0020114225811677707,3987169,-0.006492124079011776
2025-01-06,GAS,-0.007380074718480651,693498,-0.006492124079011776
2025-01-06,GVR,-0.030153038170687558,2167100,-0.006492124079011776
2025-01-06,HDB,0.002042901629800331,6427500,-0.006492124079011776
2025-01-06,HPG,-0.020893388227573716,18300636,-0.006492124079011776
2025-01-06,KDH,0.0,1802790,-0.006492124079011776
2025-01-06,MBB,-0.012220104362350994,22976174,-0.006492124079011776
2025-01-06,MSN,-0.03652707023737436,5196900,-0.006492124079011776
2025-01-06,MWG,-0.027683424477762758,6206900,-0.006492124079011776
2025-01-06,NVL,-0.014320053774748558,5014600,-0.006492124079011776
2025-01-06,PDR,-0.04245331940992863,10404396,-0.006492124079011776
2025-01-06,PLX,-0.0026041966125116057,671000,-0.006492124079011776
2025-01-06,POW,-0.021414094503816584,5442900,-0.006492124079011776
2025-01-06,SAB,-0.02578411884598963,1071500,-0.006492124079011776
2025-01-06,SSI,-0.017910943701079943,9985000,-0.006492124079011776
2025-01-06,STB,0.004146515961848618,9584000,-0.006492124079011776
2025-01-06,TCB,0.0,8175100,-0.006492124079011776
2025-01-06,TPB,-0.009302450618980315,8158294,-0.006492124079011776
2025-01-06,VCB,0.00973507207442843,2895516,-0.006492124079011776
